sal,grade,patco,major,age,male,vet,handvet,hand,yos,edyrs,promo,exit,supmgr,race,minority,grade4
47081,12,1,SOC,49,1,1,0,0,18,16,0,0,1,2,1,3
22945,4,4,,46,1,0,0,0,25,12,0,0,0,2,1,1
40887,11,2,BUSAD,39,1,0,0,0,18,13,0,0,0,2,1,3
33549,8,3,,29,1,0,0,0,2,12,0,0,0,2,1,2
49947,13,2,,33,1,0,0,0,5,12,0,0,0,2,1,4
59022,14,1,ENGR,37,1,0,0,0,7,16,0,0,0,2,1,4
35330,9,3,,46,1,1,0,0,11,12,0,0,1,2,1,3
29602,9,2,,37,1,1,0,0,12,15,0,0,0,2,1,3
19573,3,4,,53,1,1,1,0,9,14,0,0,0,2,1,1
16900,4,5,,24,1,0,0,0,1,14,,1,0,2,1,1
23316,5,3,,40,1,1,0,0,19,12,0,0,0,2,1,2
34375,9,3,BUSAD,63,1,1,0,0,17,16,,1,0,2,1,3
18025,4,3,,36,1,0,0,0,10,13,0,0,0,2,1,1
17462,4,5,,46,1,1,0,0,1,12,0,0,0,2,1,1
37601,9,1,BUSAD,33,1,0,0,0,5,16,0,0,0,2,1,3
24843,5,3,,50,1,1,0,0,24,15,0,0,0,2,1,2
22686,5,4,,41,1,1,0,0,15,13,0,0,0,2,1,2
24576,5,4,,62,1,1,1,1,20,12,,1,0,2,1,2
22696,4,4,,45,1,1,0,0,14,12,0,0,0,2,1,1
77550,14,1,BUSAD,58,1,1,0,0,24,18,,1,1,2,1,4
31512,9,1,,30,1,0,0,0,9,14,0,0,0,2,1,3
69427,15,1,BIO,39,1,0,0,0,9,20,,1,0,2,1,4
29602,9,2,,35,1,0,0,0,12,12,0,0,0,2,1,3
25567,6,4,,31,1,0,0,0,10,14,1,0,0,2,1,2
27259,7,3,,40,0,0,0,0,7,14,0,0,0,3,1,2
25936,8,3,EDUC,49,0,0,0,0,11,14,0,0,0,3,1,2
17462,4,4,,20,0,0,0,0,3,12,0,0,0,3,1,1
30287,7,3,,52,0,1,0,0,22,12,0,0,0,3,1,2
23181,6,4,,34,0,0,0,0,5,14,0,0,0,3,1,2
